word,stage,action,reason,method,source,evidence,confidence,reversible,recheck_queued,category,decided_date
abdicablest,3,demote_to_invalid,synthetic comparative of 'abdicable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abdicationaler,3,demote_to_invalid,synthetic comparative of 'abdicational'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abdicationalest,3,demote_to_invalid,synthetic comparative of 'abdicational'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abditiver,3,demote_to_invalid,synthetic comparative of 'abditive'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abditivest,3,demote_to_invalid,synthetic comparative of 'abditive'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abdominoanaler,3,demote_to_invalid,synthetic comparative of 'abdominoanal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoanalest,3,demote_to_invalid,synthetic comparative of 'abdominoanal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoaorticer,3,demote_to_invalid,synthetic comparative of 'abdominoaortic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoaorticest,3,demote_to_invalid,synthetic comparative of 'abdominoaortic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominocruraler,3,demote_to_invalid,synthetic comparative of 'abdominocrural'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominocruralest,3,demote_to_invalid,synthetic comparative of 'abdominocrural'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominocutaneouser,3,demote_to_invalid,synthetic comparative of 'abdominocutaneous'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominocutaneousest,3,demote_to_invalid,synthetic comparative of 'abdominocutaneous'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominodiaphragmaticer,3,demote_to_invalid,synthetic comparative of 'abdominodiaphragmatic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominodiaphragmaticest,3,demote_to_invalid,synthetic comparative of 'abdominodiaphragmatic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoendorectaler,3,demote_to_invalid,synthetic comparative of 'abdominoendorectal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoendorectalest,3,demote_to_invalid,synthetic comparative of 'abdominoendorectal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominofemoraler,3,demote_to_invalid,synthetic comparative of 'abdominofemoral'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominofemoralest,3,demote_to_invalid,synthetic comparative of 'abdominofemoral'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominogenitaler,3,demote_to_invalid,synthetic comparative of 'abdominogenital'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominogenitalest,3,demote_to_invalid,synthetic comparative of 'abdominogenital'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominojugularer,3,demote_to_invalid,synthetic comparative of 'abdominojugular'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominojugularest,3,demote_to_invalid,synthetic comparative of 'abdominojugular'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominopelvicer,3,demote_to_invalid,synthetic comparative of 'abdominopelvic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominopelvicest,3,demote_to_invalid,synthetic comparative of 'abdominopelvic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoperinealer,3,demote_to_invalid,synthetic comparative of 'abdominoperineal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoperinealest,3,demote_to_invalid,synthetic comparative of 'abdominoperineal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoplasticer,3,demote_to_invalid,synthetic comparative of 'abdominoplastic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoplasticest,3,demote_to_invalid,synthetic comparative of 'abdominoplastic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominorectaler,3,demote_to_invalid,synthetic comparative of 'abdominorectal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominorectalest,3,demote_to_invalid,synthetic comparative of 'abdominorectal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoscopicer,3,demote_to_invalid,synthetic comparative of 'abdominoscopic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoscopicest,3,demote_to_invalid,synthetic comparative of 'abdominoscopic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoscrotaler,3,demote_to_invalid,synthetic comparative of 'abdominoscrotal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominoscrotalest,3,demote_to_invalid,synthetic comparative of 'abdominoscrotal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominotransanaler,3,demote_to_invalid,synthetic comparative of 'abdominotransanal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominotransanalest,3,demote_to_invalid,synthetic comparative of 'abdominotransanal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominotranssacraler,3,demote_to_invalid,synthetic comparative of 'abdominotranssacral'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominotranssacralest,3,demote_to_invalid,synthetic comparative of 'abdominotranssacral'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominovesicaler,3,demote_to_invalid,synthetic comparative of 'abdominovesical'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abdominovesicalest,3,demote_to_invalid,synthetic comparative of 'abdominovesical'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abducibler,3,demote_to_invalid,synthetic comparative of 'abducible'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abduciblest,3,demote_to_invalid,synthetic comparative of 'abducible'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abductabler,3,demote_to_invalid,synthetic comparative of 'abductable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abductablest,3,demote_to_invalid,synthetic comparative of 'abductable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abductorier,3,demote_to_invalid,synthetic comparative of 'abductory'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abductoriest,3,demote_to_invalid,synthetic comparative of 'abductory'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Medical,2026-08-14
abgerminaler,3,demote_to_invalid,synthetic comparative of 'abgerminal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Science,2026-08-14
abgerminalest,3,demote_to_invalid,synthetic comparative of 'abgerminal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Science,2026-08-14
abhesiver,3,demote_to_invalid,synthetic comparative of 'abhesive'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Science,2026-08-14
abhesivest,3,demote_to_invalid,synthetic comparative of 'abhesive'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Science,2026-08-14
abidabler,3,demote_to_invalid,synthetic comparative of 'abidable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abidablest,3,demote_to_invalid,synthetic comparative of 'abidable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abiologicaler,3,demote_to_invalid,synthetic comparative of 'abiological'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Science,2026-08-14
abiologicalest,3,demote_to_invalid,synthetic comparative of 'abiological'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Science,2026-08-14
abioticer,3,demote_to_invalid,synthetic comparative of 'abiotic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Science,2026-08-14
abioticest,3,demote_to_invalid,synthetic comparative of 'abiotic'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Science,2026-08-14
ablegater,3,demote_to_invalid,synthetic comparative of 'ablegate'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abnormalest,3,demote_to_invalid,synthetic comparative of 'abnormal'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abominabler,3,demote_to_invalid,synthetic comparative of 'abominable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abradabler,3,demote_to_invalid,synthetic comparative of 'abradable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abradablest,3,demote_to_invalid,synthetic comparative of 'abradable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abrasivest,3,demote_to_invalid,synthetic comparative of 'abrasive'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abrogabler,3,demote_to_invalid,synthetic comparative of 'abrogable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abrogablest,3,demote_to_invalid,synthetic comparative of 'abrogable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
absonanter,3,demote_to_invalid,synthetic comparative of 'absonant'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
absonantest,3,demote_to_invalid,synthetic comparative of 'absonant'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
absonouser,3,demote_to_invalid,synthetic comparative of 'absonous'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
absonousest,3,demote_to_invalid,synthetic comparative of 'absonous'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
absorptiver,3,demote_to_invalid,synthetic comparative of 'absorptive'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
absorptivest,3,demote_to_invalid,synthetic comparative of 'absorptive'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abstemiouser,3,demote_to_invalid,synthetic comparative of 'abstemious'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abstemiousest,3,demote_to_invalid,synthetic comparative of 'abstemious'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abstentiouser,3,demote_to_invalid,synthetic comparative of 'abstentious'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abstentiousest,3,demote_to_invalid,synthetic comparative of 'abstentious'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abundantest,3,demote_to_invalid,synthetic comparative of 'abundant'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abusabler,3,demote_to_invalid,synthetic comparative of 'abusable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abusablest,3,demote_to_invalid,synthetic comparative of 'abusable'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
abusivest,3,demote_to_invalid,synthetic comparative of 'abusive'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
acanthouser,3,demote_to_invalid,synthetic comparative of 'acanthous'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
acanthousest,3,demote_to_invalid,synthetic comparative of 'acanthous'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
acapsularer,3,demote_to_invalid,synthetic comparative of 'acapsular'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Science,2026-08-14
acapsularest,3,demote_to_invalid,synthetic comparative of 'acapsular'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Science,2026-08-14
accelerationaler,3,demote_to_invalid,synthetic comparative of 'accelerational'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
accelerationalest,3,demote_to_invalid,synthetic comparative of 'accelerational'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
accelerativer,3,demote_to_invalid,synthetic comparative of 'accelerative'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
accelerativest,3,demote_to_invalid,synthetic comparative of 'accelerative'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,General,2026-08-14
accelerometricaler,3,demote_to_invalid,synthetic comparative of 'accelerometrical'; not a recognised inflection,mw_meta_stems_sample,merriam-webster,"sampled 300 of 8,809 stems; MW ruled on 183 and listed the comparative for 1 (blameworthy), which is excluded here",medium,yes,yes,Science,2026-08-14
